Pepin County,B,Up from yesterday
Johnson County,B,Up from yesterday
Riley County,B,Up from yesterday
Grafton County,B,Up from yesterday
Ulster County,B,Up from yesterday
Rutland County,B,Up from yesterday
North Slope Borough,B,Up from yesterday
Sierra County,B,Up from yesterday
Custer County,B,Up from yesterday
Franklin County,B,Up from yesterday
Emmet County,B,Up from yesterday
Monroe County,B,Up from yesterday
Lemhi County,B,Up from yesterday
Calhoun County,B,Up from yesterday
Pulaski County,B,Up from yesterday
Ness County,B,Up from yesterday
Mitchell County,B,Up from yesterday
Leslie County,B,Up from yesterday
Montmorency County,B,Up from yesterday
Manistee County,B,Up from yesterday
Big Stone County,B,Up from yesterday
Stevens County,B,Up from yesterday
Meeker County,B,Up from yesterday
Swift County,B,Up from yesterday
Murray County,B,Up from yesterday
Redwood County,B,Up from yesterday
Knox County,B,Up from yesterday
Judith Basin County,B,Up from yesterday
Hill County,B,Up from yesterday
Richland County,B,Up from yesterday
Emmons County,B,Up from yesterday
Ransom County,B,Up from yesterday
Wells County,B,Up from yesterday
Renville County,B,Up from yesterday
Sioux County,B,Up from yesterday
Bottineau County,B,Up from yesterday
Pierce County,B,Up from yesterday
Traill County,B,Up from yesterday
Divide County,B,Up from yesterday
Butler County,B,Up from yesterday
Cedar County,B,Up from yesterday
Los Alamos County,B,Up from yesterday
Sierra County,B,Up from yesterday
Colfax County,B,Up from yesterday
Lincoln County,B,Up from yesterday
Delaware County,B,Up from yesterday
Kiowa County,B,Up from yesterday
Tillman County,B,Up from yesterday
Juniata County,B,Up from yesterday
Lake County,B,Up from yesterday
Marshall County,B,Up from yesterday
Clark County,B,Up from yesterday
Jim Hogg County,B,Up from yesterday
Yoakum County,B,Up from yesterday
Brewster County,B,Up from yesterday
Presidio County,B,Up from yesterday
Wayne County,B,Up from yesterday
Richmond County,B,Up from yesterday
Northumberland County,B,Up from yesterday
Essex County,B,Up from yesterday
Tucker County,B,Up from yesterday
Sublette County,B,Up from yesterday
Fairbanks North Star Borough,B-,Up from yesterday
San Luis Obispo County,B-,Up from yesterday
Sonoma County,B-,Up from yesterday
Monterey County,B-,Up from yesterday
Boulder County,B-,Up from yesterday
Boone County,B-,Up from yesterday
Hampshire County,B-,Up from yesterday
Cumberland County,B-,Up from yesterday
Delta County,B-,Down from yesterday
Emmet County,B-,Up from yesterday
Ramsey County,B-,Up from yesterday
Saline County,B-,Up from yesterday
Rio Arriba County,B-,Up from yesterday
Clinton County,B-,Up from yesterday
Ottawa County,B-,Up from yesterday
Arlington County,B-,Up from yesterday
Sauk County,B-,Up from yesterday
Blackford County,B-,Up from yesterday
Fergus County,B-,Down from yesterday
Hot Springs County,B-,Down from yesterday
Juneau City and Borough,B-,Up from yesterday
Yuma County,B-,Down from yesterday
Towns County,B-,Down from yesterday
Grant Parish,B-,Down from yesterday
Swain County,B-,Down from yesterday
Grant County,B-,Down from yesterday
Nye County,B-,Down from yesterday
Windsor County,B-,Down from yesterday
Windham County,B-,Down from yesterday
Southeast Fairbanks Census Area,B-,Down from yesterday
Clear Creek County,B-,Down from yesterday
Montgomery County,B-,Down from yesterday
Glascock County,B-,Down from yesterday
Randolph County,B-,Down from yesterday
Wheeler County,B-,Down from yesterday
Taylor County,B-,Down from yesterday
Calhoun County,B-,Down from yesterday
Winneshiek County,B-,Down from yesterday
Adams County,B-,Down from yesterday
Lewis County,B-,Down from yesterday
Stark County,B-,Down from yesterday
Putnam County,B-,Down from yesterday
Benton County,B-,Down from yesterday
Brown County,B-,Down from yesterday
Switzerland County,B-,Down from yesterday
Logan County,B-,Down from yesterday
Hodgeman County,B-,Down from yesterday
Edwards County,B-,Down from yesterday
Stevens County,B-,Down from yesterday
Clay County,B-,Down from yesterday
Cheyenne County,B-,Down from yesterday
Barber County,B-,Down from yesterday
Lincoln County,B-,Down from yesterday
Elk County,B-,Down from yesterday
Rush County,B-,Down from yesterday
Elliott County,B-,Down from yesterday
Trimble County,B-,Down from yesterday
Owen County,B-,Down from yesterday
Wayne County,B-,Down from yesterday
Morgan County,B-,Down from yesterday
Magoffin County,B-,Down from yesterday
Green County,B-,Down from yesterday
Piscataquis County,B-,Down from yesterday
Lake County,B-,Down from yesterday
Iosco County,B-,Down from yesterday
Alcona County,B-,Down from yesterday
Oceana County,B-,Down from yesterday
Presque Isle County,B-,Down from yesterday
Pope County,B-,Down from yesterday
Grant County,B-,Down from yesterday
Kittson County,B-,Down from yesterday
Oregon County,B-,Down from yesterday
Phillips County,B-,Down from yesterday
Deer Lodge County,B-,Down from yesterday
Burke County,B-,Down from yesterday
McHenry County,B-,Down from yesterday
Franklin County,B-,Down from yesterday
Howard County,B-,Down from yesterday
Lewis County,B-,Down from yesterday
Monroe County,B-,Down from yesterday
Vinton County,B-,Down from yesterday
Meigs County,B-,Down from yesterday
Morgan County,B-,Down from yesterday
Grant County,B-,Down from yesterday
Forest County,B-,Down from yesterday
Pickett County,B-,Down from yesterday
Bledsoe County,B-,Down from yesterday
Jeff Davis County,B-,Down from yesterday
Rappahannock County,B-,Down from yesterday
Fluvanna County,B-,Down from yesterday
Jefferson County,B-,Down from yesterday
Menominee County,B-,Down from yesterday
Mingo County,B-,Down from yesterday
Monroe County,B-,Down from yesterday
Summers County,B-,Down from yesterday
Webster County,B-,Down from yesterday
Santa Cruz County,B-,Up from yesterday
Napa County,B-,Up from yesterday
Ripley County,B-,Up from yesterday
Natchitoches Parish,B-,Up from yesterday
Oxford County,B-,Up from yesterday
